Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	636	25.1621	0.00576606	0	0.00576606	140
layer1_strips23_300V	1847	28.1756	0.00282951	0	0.00282951	210
layer2_strips12_300V	944	1.15251	0.00408199	0	0.00408199	140
layer2_strips23_300V	926	1.03831	0.00391967	0	0.00391967	210
layer3_strips12_300V	963	674.663	0.00391999	0	0.00391999	140
layer3_strips23_300V	1081	1144.44	0.0152991	-0.134766	0.135632	0
layer4_strips12_300V	995	4.49227	0.00829905	0.129061	0.129328	0
layer4_strips23_300V	682	3.26049	0.0118585	0.024481	0.0272019	0
layer5_strips12_300V	2077	456.419	0.0259711	0	0.0259711	70
layer5_strips23_300V	716	611.247	0.00675191	-1.30359	1.30361	0
