Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	500	7009.71	1.35892	-334.214	334.216	0
layer1_strips23_300V	609	6445.92	6.71442	0	6.71442	4
layer2_strips12_300V	985	6379.31	7.23375	0	7.23375	4
layer2_strips23_300V	1347	6116.62	5.60505	0	5.60505	4
layer3_strips12_300V	378	15362.4	106.117	0	106.117	4
layer3_strips23_300V	405	21764.3	24.3401	0	24.3401	280
layer4_strips12_300V	269	6077.95	40.2951	0	40.2951	4
layer4_strips23_300V	326	6701.26	60.0467	0	60.0467	4
layer5_strips12_300V	276	20431.6	13.8909	0	13.8909	4
layer5_strips23_300V	210	24012.3	44.9128	0	44.9128	4
