Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	231	2134.11	0.736661	-28.2412	28.2508	0
layer1_strips23_300V	304	2560.49	3.5201	0	3.5201	4
layer2_strips12_300V	288	244.762	1.11996	-32.9486	32.9676	0
layer2_strips23_300V	329	200.338	1.24562	-37.4014	37.4221	0
layer3_strips12_300V	174	4206.14	4.64787	-86.013	86.1384	0
layer3_strips23_300V	262	4791.66	2.4884	-71.0774	71.1209	0
layer4_strips12_300V	272	557.18	2.23547	-103.033	103.057	0
layer4_strips23_300V	567	527.632	0.382019	-53.3882	53.3896	0
layer5_strips12_300V	465	9882.76	0.357749	-41.4461	41.4477	0
layer5_strips23_300V	346	11208.1	0.654587	-51.0399	51.0441	0
