Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	663	367.427	0.413007	0	0.413007	4
layer1_strips23_300V	678	330.827	0.535718	0	0.535718	4
layer2_strips12_300V	639	1.10294	0.0074415	-109.191	109.191	0
layer2_strips23_300V	963	160.724	0.0140167	-1.74777	1.74783	0
layer3_strips12_300V	615	7158.06	0.22591	0	0.22591	210
layer3_strips23_300V	726	10319.9	0.0996151	0	0.0996151	210
layer4_strips12_300V	759	108.197	0.0196987	0	0.0196987	70
layer4_strips23_300V	789	159.88	0.0936048	0	0.0936048	4
layer5_strips12_300V	802	5375.09	0.124234	0	0.124234	140
layer5_strips23_300V	633	6133.4	0.206977	0	0.206977	140
