Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	573	4269.17	3.21562	0	3.52364	70
layer1_strips23_300V	549	5529.36	3.19793	0	3.19793	4
layer2_strips12_300V	546	5017.63	0.559741	0	0.559741	4
layer2_strips23_300V	557	5172.37	7.72132	0	7.72132	4
layer3_strips12_300V	579	13196.9	1.83845	0	1.83845	4
layer3_strips23_300V	711	19430.9	4.72815	0	4.72815	4
layer4_strips12_300V	446	2748.32	6.57531	0	6.57531	4
layer4_strips23_300V	504	3368.91	2.98458	-304.642	304.657	0
layer5_strips12_300V	654	19124.6	6.40651	0	6.40651	4
layer5_strips23_300V	255	21816.3	48.4883	0	48.4883	4
