Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	1273	4872.43	0.021059	0	0.021059	140
layer1_strips23_300V	559	4910.65	0.578457	0	0.578457	4
layer2_strips12_300V	793	5038.97	0.114551	0	0.114551	280
layer2_strips23_300V	698	6674.89	6.16871	0	6.16871	4
layer3_strips12_300V	490	15082.9	4.98067	0	4.98067	4
layer3_strips23_300V	579	22531.5	7.18795	0	7.18795	4
layer4_strips12_300V	235	4176.71	14.9369	0	14.9369	4
layer4_strips23_300V	222	4776.82	16.999	0	16.999	70
layer5_strips12_300V	255	21790.4	24.0583	0	24.0583	4
layer5_strips23_300V	196	24859.3	67.4576	0	67.4576	4
