Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	1191	195.441	0.0068323	-0.457816	0.457867	0
layer1_strips23_300V	384	430.058	0.0818864	0	0.0818864	4
layer2_strips12_300V	1001	207.785	0.103197	0	0.103197	4
layer2_strips23_300V	965	239.232	0.122991	-27.4287	27.429	0
layer3_strips12_300V	988	5843.43	0.0447776	0	0.0447776	210
layer3_strips23_300V	466	9218.8	0.281978	0	0.281978	210
layer4_strips12_300V	990	368.125	1.08939	0	1.08939	4
layer4_strips23_300V	798	445.303	0.264712	0	0.264712	4
layer5_strips12_300V	832	6136.39	0.135804	0	0.135804	140
layer5_strips23_300V	1339	7054.74	0.145643	0	0.145643	140
