Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	2660	0.203306	1.65272e-05	0	6.31449e-05	70
layer1_strips23_300V	431	32.4006	0.00785172	-1.31757	1.31762	140
layer2_strips12_300V	419	4.47938	0.00685144	0	0.00685144	140
layer2_strips23_300V	423	4.34832	0.0065993	0	0.0065993	210
layer3_strips12_300V	424	194.85	0.0191979	0.0831849	0.0853715	0
layer3_strips23_300V	441	203.791	0.0412438	-0.14484	0.150598	0
layer4_strips12_300V	454	24.6543	0.0677858	-3.21511	3.21582	0
layer4_strips23_300V	421	23.7914	0.0776748	-3.54958	3.55043	0
layer5_strips12_300V	435	272.662	0.125686	-8.1558	8.15677	0
layer5_strips23_300V	422	259.566	0.133554	-8.24498	8.24607	0
