Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	575	229.941	0.222038	0	0.222038	4
layer1_strips23_300V	398	293.111	0.731883	0	0.731883	4
layer2_strips12_300V	378	318.569	814.815	0	814.815	4
layer2_strips23_300V	488	142.557	0.00390763	-151.652	151.652	0
layer3_strips12_300V	377	11220.5	30.1282	0	30.1282	4
layer3_strips23_300V	524	17408.5	4.21182	0	4.21182	4
layer4_strips12_300V	430	413.5	1.04545	0	1.04545	4
layer4_strips23_300V	507	278.789	1.53152	-94.5486	94.561	0
layer5_strips12_300V	707	17371.1	4.44531	0	4.44531	4
layer5_strips23_300V	431	19026.9	17.392	0	17.392	4
