Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	425	2808.83	3.97225	0	3.97225	4
layer1_strips23_300V	430	3287.07	0.653149	0	0.653149	4
layer2_strips12_300V	419	7.13506	0.0115349	-0.00121292	0.0115985	0
layer2_strips23_300V	422	7.16857	0.0152908	-0.0227295	0.0273942	0
layer3_strips12_300V	420	1241.94	1.14901	0	1.14901	4
layer3_strips23_300V	414	1540.89	0.540736	-19.4774	19.4849	0
layer4_strips12_300V	423	52.1122	0.0898656	-5.74383	5.74454	0
layer4_strips23_300V	450	49.4366	0.078604	-5.18229	5.18289	0
layer5_strips12_300V	417	1609.93	0.295732	-21.8548	21.8568	0
layer5_strips23_300V	421	1662.15	0.197993	-16.6142	16.6153	0
