Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	383	1188.28	0.00649997	0	0.0092874	140
layer1_strips23_300V	364	1564.31	0.851499	0	0.851499	4
layer2_strips12_300V	320	5.35174	0.0138945	-0.0267447	0.0324179	0
layer2_strips23_300V	351	5.30564	0.0128632	-0.0569253	0.0587605	0
layer3_strips12_300V	379	1154.75	0.893921	-18.5389	18.5604	0
layer3_strips23_300V	364	1593.84	0.126499	-6.07078	6.0721	0
layer4_strips12_300V	351	69.7173	0.162327	-10.1035	10.1048	0
layer4_strips23_300V	412	68.743	0.112908	-8.10351	8.1043	0
layer5_strips12_300V	362	3094.35	0.357936	-27.8681	27.8704	0
layer5_strips23_300V	392	2754.71	0.263106	-23.4158	23.4173	0
