Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	476	1499.42	1.04207	0	1.04207	4
layer1_strips23_300V	555	1947.73	0.739022	0	0.739022	4
layer2_strips12_300V	248	10.1091	0.0625019	-0.718325	0.721039	0
layer2_strips23_300V	254	10.0605	0.0445627	-0.664737	0.666229	0
layer3_strips12_300V	345	3056.88	0.442824	-22.4883	22.4926	0
layer3_strips23_300V	259	3715.01	1.11395	-31.529	31.5487	0
layer4_strips12_300V	323	136.541	0.331522	-21.0512	21.0538	0
layer4_strips23_300V	338	127.31	0.370086	-21.395	21.3982	0
layer5_strips12_300V	369	8055.17	0.593069	-52.2668	52.2702	0
layer5_strips23_300V	322	8643.63	0.856729	-56.9718	56.9782	0
