Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	435	3058.6	0.0988408	-4.65917	4.66022	0
layer1_strips23_300V	441	3559.48	2.32107	0	2.32107	4
layer2_strips12_300V	478	522.252	1.5688	0	1.5688	4
layer2_strips23_300V	648	546.004	0.0376173	-4.78696	4.78711	0
layer3_strips12_300V	359	4323.69	1.22413	0	35.8435	4
layer3_strips23_300V	408	4986.33	1.55665	-42.9331	42.9631	0
layer4_strips12_300V	422	378.164	0.977344	0	0.977344	4
layer4_strips23_300V	503	440.072	1.04621	-45.8915	46.0475	4
