Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	727	7471.83	0.316548	-94.974	94.9746	0
layer1_strips23_300V	622	5873.84	15.006	-1270.76	1270.85	0
layer2_strips12_300V	346	6264.61	9.57855	-460.66	460.76	0
layer2_strips23_300V	391	5972.98	2.36476	-224.347	224.36	0
layer3_strips12_300V	428	6432.67	2.50154	-160.239	160.259	0
layer3_strips23_300V	363	6838.45	1.49818	-129.703	129.712	0
layer4_strips12_300V	356	4731.92	1.12976	-117.87	117.876	0
layer4_strips23_300V	216	4394.53	11.8978	-231.529	231.834	0
layer5_strips12_300V	353	13485.6	5.66365	-279.465	279.522	0
layer5_strips23_300V	389	12497.7	41.6188	-902.227	903.186	0
