Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	541	2352.87	0.73971	0	0.73971	4
layer1_strips23_300V	583	2945.34	0.481911	0	0.481911	4
layer2_strips12_300V	440	7.10738	0.0192493	-0.0873051	0.089402	0
layer2_strips23_300V	419	7.33609	0.0222226	-0.112714	0.114884	0
layer3_strips12_300V	498	2797.11	1.35899	0	1.35899	4
layer3_strips23_300V	486	3626.6	0.0178608	-0.756504	0.756715	0
layer4_strips12_300V	441	93.3328	0.129303	-10.9089	10.9096	0
layer4_strips23_300V	395	90.3243	0.156983	-12.5477	12.5487	0
layer5_strips12_300V	431	6612.29	0.414922	-41.0882	41.0903	0
layer5_strips23_300V	445	7011.52	1.23171	-61.0813	61.0937	0
