Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	536	1277.46	0.0560163	0	0.0560163	4
layer1_strips23_300V	476	1459.36	0.103274	0	0.103274	140
layer2_strips12_300V	539	1263.67	2.06306	-263.427	263.435	0
layer2_strips23_300V	538	1546.1	3.25992	0	3.25992	4
layer3_strips12_300V	489	12263.7	40.2501	0	40.2501	4
layer3_strips23_300V	544	18800.8	27.3822	0	27.3822	4
layer4_strips12_300V	647	595.972	0.699142	-178.404	178.406	0
layer4_strips23_300V	617	804.726	13.5991	-913.644	913.745	0
layer5_strips12_300V	470	16928.2	5.1516	0	5.1516	4
layer5_strips23_300V	499	19140.3	0.259044	0	0.259044	140
