Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	427	2575.97	0.500754	0	0.500754	4
layer1_strips23_300V	422	3315.59	0.419007	0	0.419007	4
layer2_strips12_300V	419	10.3701	0.00846146	0	0.00846146	140
layer2_strips23_300V	458	8.64874	0.0069297	0	0.0069297	4
layer3_strips12_300V	444	1431.45	0.0788877	-3.62509	3.62595	0
layer3_strips23_300V	412	2112.16	0.345891	-11.9352	11.9402	0
layer4_strips12_300V	424	62.4874	0.107559	-8.00601	8.00673	0
layer4_strips23_300V	426	61.9603	0.0933524	-6.98084	6.98147	0
layer5_strips12_300V	412	2407.95	0.262748	-20.8215	20.8232	0
layer5_strips23_300V	413	2340.57	0.224822	-18.4291	18.4305	0
