Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	535	520.068	0.0134101	-4.13572	4.13574	0
layer1_strips23_300V	489	642.051	0.616205	0	0.616205	4
layer2_strips12_300V	748	537.522	0.576068	0	0.576068	4
layer2_strips23_300V	457	862.216	1.28451	0	1.28451	4
layer3_strips12_300V	487	14224.5	0.048086	0	0.048086	4
layer3_strips23_300V	432	22515.7	14.3517	0	14.3517	4
layer4_strips12_300V	1005	553.324	0.54769	-84.2235	84.2252	0
layer4_strips23_300V	583	1005.46	2.73119	0	2.73119	4
layer5_strips12_300V	644	20101.3	6.35592	0	6.35592	4
layer5_strips23_300V	425	22595.3	21.6067	0	21.6067	4
