Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	638	913.016	0.0253419	0	0.0253419	4
layer1_strips23_300V	347	1168.34	2.76819	0	2.76819	4
layer2_strips12_300V	538	1056.91	1.17506	0	1.17506	4
layer2_strips23_300V	386	1144.35	2.85333	0	2.85333	4
layer3_strips12_300V	274	6379	1.72989	0	1.72989	4
layer3_strips23_300V	326	10119.2	1.50885	0	1.50885	140
layer4_strips12_300V	325	1168.11	2691.18	0	2691.18	4
layer4_strips23_300V	663	1004.68	2.02588	0	2.02588	4
layer5_strips12_300V	398	8284.52	0.680077	0	0.680077	140
layer5_strips23_300V	257	9462.63	64.6696	0	64.6696	4
