Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	622	59.3835	0.00939904	0	0.00939904	4
layer1_strips23_300V	1151	62.4885	0.00636113	-0.247391	0.247472	0
layer2_strips12_300V	706	19.7998	0.32967	0	0.32967	4
layer2_strips23_300V	884	17.6703	0.0438675	0	0.0438675	4
layer3_strips12_300V	1059	68.0361	0.0218456	0	0.0218456	70
layer3_strips23_300V	1086	59.2637	0.0206927	0	0.0206927	70
layer4_strips12_300V	842	20.0537	0.00863716	0	0.00863716	140
layer4_strips23_300V	1551	30.1663	0.0114796	0	0.0114796	70
layer5_strips12_300V	642	74.905	0.0102202	0	0.0102202	140
layer5_strips23_300V	1813	100.019	0.00640642	0	0.00640642	70
