Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	893	20.0777	82.7939	0	82.7939	4
layer1_strips23_300V	811	43.6062	0.000673762	0	0.00186092	4
layer2_strips12_300V	703	26.6378	0.000301287	0	46.855	4
layer2_strips23_300V	421	32.101	0.100573	-17.7229	17.7236	70
layer3_strips12_300V	343	74.0029	0.0914849	0	0.0917258	140
layer3_strips23_300V	297	68.3456	0.131897	0	93.3182	140
layer4_strips12_300V	281	225.247	1.07612	-58.5686	58.6613	140
layer4_strips23_300V	486	121.129	0.0408228	0	1.04253	140
layer5_strips12_300V	205	172.004	0.304046	0	0.304046	140
layer5_strips23_300V	329	169.309	0.0678592	0	0.0678592	70
layer6_strips12_300V	274	77.8742	0.136609	0.143008	0.417229	140
layer6_strips23_300V	275	63.6635	0.0646789	0	55.2115	140
