Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	877	1.13975	0.0122145	-0.00484375	0.0131399	0
layer1_strips23_300V	465	27.2112	0.0427918	-0.799079	0.800224	0
layer2_strips12_300V	456	2.38927	0.0332879	-0.0780007	0.0848068	0
layer2_strips23_300V	279	37.7491	0.091631	-1.65503	1.65757	0
layer3_strips12_300V	466	88.229	0.103216	-4.23413	4.23539	0
layer3_strips23_300V	378	74.9787	0.109104	-3.56306	3.56473	0
layer4_strips12_300V	455	1.23802	0.00285574	0	0.00285574	4
layer4_strips23_300V	380	6.08236	0.025541	-0.152835	0.154955	0
layer5_strips12_300V	315	195.926	0.265842	-11.7961	11.7991	0
layer5_strips23_300V	367	208.027	0.192568	-10.6532	10.6549	0
layer6_strips12_300V	277	89.0419	0.302688	-7.49	7.49612	0
layer6_strips23_300V	415	85.9265	0.120665	-4.8342	4.83571	0
