Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	542	1252.11	0.653616	-111.617	111.619	0
layer1_strips23_300V	472	1028.41	5.00884	-176.416	176.487	0
layer2_strips12_300V	341	318.364	0.255862	-956.243	956.243	0
layer2_strips23_300V	444	1491.01	2.64222	0	2.64222	4
layer3_strips12_300V	433	397.772	0.0987453	-905.108	905.108	0
layer3_strips23_300V	1049	1299.64	0.00226785	0	0.00226785	70
layer4_strips12_300V	453	494.934	0.0118714	-777.929	777.929	0
layer4_strips23_300V	547	1120.79	0.267866	0	0.267866	4
layer5_strips12_300V	517	351.682	0.0138397	-798.69	798.69	0
layer5_strips23_300V	359	1303.67	1.83452	0	1.83452	4
layer6_strips12_300V	412	1104.14	0.234062	0	0.234062	4
layer6_strips23_300V	442	135.945	0.205454	-814.6	814.6	0
