Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	317	97.1284	0.712167	0	0.71217	4
layer1_strips23_300V	264	113.103	0.0103418	0	0.0277622	210
layer2_strips12_300V	213	176.216	0.0605422	0	0.0606822	210
layer2_strips23_300V	166	292.845	1.06008	0	1.06008	4
layer3_strips12_300V	243	174.463	0.399807	0	0.399807	4
layer3_strips23_300V	259	243.941	0.440914	-55.7398	55.7416	0
layer4_strips12_300V	560	310.498	0.71731	0	0.71731	4
layer4_strips23_300V	451	268.438	0.406588	0	0.406588	4
layer5_strips12_300V	337	232.044	0.0823992	0	0.0823992	70
layer5_strips23_300V	237	312.304	0.354641	0	0.354641	4
layer6_strips12_300V	151	131.612	0.190514	0	47.1743	280
layer6_strips23_300V	242	167.385	0.0890149	0	0.0890149	140
