Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	484	951.247	1.16725	-342.215	342.217	0
layer1_strips23_300V	331	932.425	2.933	-151.402	151.43	0
layer2_strips12_300V	279	1014.38	3.82611	-119.342	119.404	0
layer2_strips23_300V	337	982.085	2.14789	-100.788	100.811	0
layer3_strips12_300V	310	1110.55	1.27596	-85.0781	85.0877	0
layer3_strips23_300V	261	1093.96	4.33609	-126.657	126.732	0
layer4_strips12_300V	562	895.13	0.84143	-68.5128	68.5179	0
layer4_strips23_300V	284	1073.15	2.0136	-96.3844	96.4054	0
layer5_strips12_300V	402	957.165	1.06872	-83.7773	83.7841	0
layer5_strips23_300V	257	1214.88	10.1039	0	10.1039	4
layer6_strips12_300V	474	983.917	1.20132	-102.02	102.027	0
layer6_strips23_300V	537	911.387	0.251082	-41.0127	41.0135	0
