Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer2_strips12_300V	472	123.389	0.351106	0	0.351106	4
layer2_strips23_300V	286	0.275284	0	0	0	0
layer3_strips12_300V	319	133.467	0.273241	-9.57795	9.58185	0
layer3_strips23_300V	267	107.022	0.86579	-21.8732	21.8903	0
layer4_strips12_300V	267	1.33498	0	0	0	0
layer4_strips23_300V	373	-122.808	0.321187	-132.602	132.732	4
layer5_strips12_300V	330	239.356	0.297878	-16.3116	16.3143	0
layer5_strips23_300V	278	253.244	0.852717	-27.3197	27.333	0
layer6_strips12_300V	414	835.763	1.29698	-71.6593	71.6711	0
layer6_strips23_300V	313	809.038	0.889574	-65.1859	65.192	0
