Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	412	1.01963	0.0279222	-0.0837183	0.088252	0
layer1_strips23_300V	412	-0.0526889	0	0	0	4
layer2_strips12_300V	412	21.6723	0.0326983	-0.8796	0.880207	0
layer2_strips23_300V	415	21.5181	0.0169101	0	0.0169101	4
layer3_strips12_300V	420	57.8904	0.097254	-4.27109	4.2722	0
layer3_strips23_300V	426	54.353	0.0928222	-6.02493	6.02564	0
layer4_strips12_300V	476	0.717549	0.0472498	-0.104352	0.402127	0
layer4_strips23_300V	416	3.97977	0.00582222	0	0.0226051	210
layer5_strips12_300V	417	129.14	0.15411	-8.92612	8.92745	0
layer5_strips23_300V	413	137.153	0.538626	0	0.538626	4
layer6_strips12_300V	417	68.1987	0.125252	-5.27217	5.27366	0
layer6_strips23_300V	413	67.7416	0.106724	-4.09765	4.09903	0
