Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	474	582.307	1.29378	-8.2467	8.34974	4
layer1_strips23_300V	466	615.312	1.25683	0	1.26605	4
layer2_strips12_300V	435	774.523	2.42873	0	2.49924	4
layer2_strips23_300V	521	949.418	1.84975	0	1.84975	4
layer3_strips12_300V	325	696.316	0.706034	0	0.706034	140
layer3_strips23_300V	497	1075.49	0.241512	-55.0964	55.0969	0
layer4_strips12_300V	409	1078.54	1.91365	0	1.91365	4
layer4_strips23_300V	561	1808.69	2.8062	0	2.8062	4
layer5_strips12_300V	394	783.525	0.824791	0	0.824791	4
layer5_strips23_300V	409	961.022	2.26486	0	2.26486	4
layer6_strips12_300V	219	497.783	0.0884962	0	0.0884962	140
layer6_strips23_300V	616	514.887	0.0449025	0	0.0449025	140
