Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	173	1552.62	32.1984	-269.292	271.21	0
layer1_strips23_300V	229	1934.22	12.5881	-123.604	124.243	0
layer2_strips12_300V	348	1445.37	3.2349	-20.9189	21.1676	0
layer2_strips23_300V	249	1488.54	9.63384	-64.3914	65.1081	0
layer3_strips12_300V	336	1297.88	9.80373	-85.4792	86.0396	0
layer3_strips23_300V	206	1586.73	7.23725	-103.536	103.788	0
layer4_strips12_300V	190	843.532	445.173	-578.948	730.315	0
layer4_strips23_300V	218	1375.16	8.24644	-91.953	92.3221	0
layer5_strips12_300V	218	1297.11	32.0344	-160.621	163.784	0
layer5_strips23_300V	297	1160.29	19.9725	-115.674	117.386	0
layer6_strips12_300V	312	737.233	9.79055	-89.3221	89.8571	0
layer6_strips23_300V	400	702.331	31.5752	-116.586	120.786	0
