Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	751	60.8974	0.023047	0	0.023047	210
layer1_strips23_300V	512	76.7553	393.314	0	393.314	4
layer2_strips12_300V	357	129.828	0.0642316	0	0.0888371	140
layer2_strips23_300V	308	129.701	0.0671077	0	0.564044	140
layer3_strips12_300V	343	171.42	0.0621719	0	0.0622009	140
layer3_strips23_300V	423	206.59	1124.66	0	1125.31	4
layer4_strips12_300V	550	654.237	0.723642	-29.4468	29.4557	0
layer4_strips23_300V	259	1080.4	0.101068	0	0.101068	140
layer5_strips12_300V	583	309.763	0.242273	0	0.242273	4
layer5_strips23_300V	645	319.41	0.0582565	0	0.0582565	70
layer6_strips12_300V	414	171.311	955.188	-4.26264	955.197	4
layer6_strips23_300V	647	185.273	0.0209446	0	0.0209446	140
