Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	435	33.5318	0.198754	-15.8161	15.8173	0
layer1_strips23_300V	869	52.595	0.000146601	0	0.000146601	4
layer2_strips12_300V	316	92.3682	0.145908	0	0.145908	70
layer2_strips23_300V	327	45.8203	0.0420958	-8.34786	8.35115	210
layer3_strips12_300V	341	140.282	0.352022	0	0.352022	4
layer3_strips23_300V	1093	128.697	0.0417556	-4.66385	4.66403	0
layer4_strips12_300V	506	723.371	2.34035	0	2.34035	4
layer4_strips23_300V	140	1383.24	0.4472	0	0.4472	140
layer5_strips12_300V	266	300.535	0.474843	0	0.474843	70
layer5_strips23_300V	288	276.627	0.0910873	0	0.0910873	4
layer6_strips12_300V	255	155.661	0.084618	0	0.084618	140
layer6_strips23_300V	267	162.41	0.0467866	0	0.0467866	140
