Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	598	1356.94	6.01572	0	6.01572	4
layer1_strips23_300V	788	1528.08	0.0415965	0	0.0415965	70
layer2_strips12_300V	466	291.363	0.16292	-1138.2	1138.2	0
layer2_strips23_300V	527	1715.72	1.49903	0	1.49903	4
layer3_strips12_300V	558	294.628	0.115046	-1099.58	1099.58	0
layer3_strips23_300V	458	1418.13	3.6542	0	3.6542	4
layer4_strips12_300V	477	1339.65	1.97526	0	1.97526	4
layer4_strips23_300V	527	1391.7	0.435343	0	0.435343	4
layer5_strips12_300V	686	1245.24	1.25011	0	1.25011	4
layer5_strips23_300V	409	330.552	0.217552	-1116.66	1116.66	0
layer6_strips12_300V	428	479.926	0.171867	-1314.18	1314.18	0
layer6_strips23_300V	553	987.466	1.83253	0	1.83253	4
