Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	461	3035.65	2.93946	0	2.93946	4
layer1_strips23_300V	477	2946.92	2.45716	0	2.45716	4
layer2_strips12_300V	368	2906.48	0.381645	0	0.381645	4
layer2_strips23_300V	242	2842.61	15.402	0	15.402	4
layer3_strips12_300V	273	3180.33	9.35914	0	9.35914	4
layer3_strips23_300V	329	3598.01	11.8072	0	11.8072	4
layer4_strips12_300V	250	3075.3	30.2398	0	30.2398	4
layer4_strips23_300V	261	3179.89	18.3201	0	18.3201	4
layer5_strips12_300V	236	2745.39	16.2677	0	16.2677	4
layer5_strips23_300V	434	3060.19	9.51184	0	9.51184	4
layer6_strips12_300V	355	2914.38	2.1215	0	2.1215	140
layer6_strips23_300V	238	2768.06	3.55332	0	3.55332	140
