Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	373	38.5352	0.0601714	0	0.0609305	140
layer1_strips23_300V	433	50.523	0.0119597	0	49.0504	70
layer2_strips12_300V	362	74.8746	394.944	0	394.944	4
layer2_strips23_300V	446	82.9595	0.0137089	0	0.0137089	140
layer3_strips12_300V	561	126.383	0.00120834	0	0.00120834	4
layer4_strips12_300V	671	395.614	0.0602213	0	0.0602213	210
layer5_strips12_300V	825	290.423	0.143842	0	0.143842	4
layer6_strips12_300V	315	164.697	0.0933645	0	0.0933645	140
layer6_strips23_300V	540	169.93	0.0522255	0	0.0522255	140
