Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	240	2.00511	0.0394392	-0.203204	0.206996	0
layer1_strips23_300V	278	1.2103	0.0194071	-0.0291017	0.0349792	0
layer2_strips12_300V	341	40.9046	0.0689974	-1.45134	1.45298	0
layer2_strips23_300V	211	0.226877	0.0757448	-0.226292	0.238632	0
layer3_strips12_300V	384	96.052	0.158174	-6.88892	6.89074	0
layer3_strips23_300V	255	91.0986	0.284697	-9.25688	9.26125	0
layer4_strips12_300V	304	2.4474	0.0602696	-0.206779	2.40205	0
layer4_strips23_300V	224	5.53469	0.0887226	-0.682964	0.688702	0
layer5_strips12_300V	281	255.101	0.425341	-18.604	18.6089	0
layer5_strips23_300V	336	236.423	1009.53	0	1009.53	4
layer6_strips12_300V	314	119.625	0.239258	-9.64311	9.64608	0
layer6_strips23_300V	340	128.67	0.243145	-9.3662	9.36935	0
