Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	639	447.222	0.962762	-91.4074	91.4125	0
layer1_strips23_300V	402	565.848	4.12382	0	4.12382	70
layer2_strips12_300V	333	740.807	3.36308	0	3.36308	4
layer2_strips23_300V	430	497.164	0.0396751	-609.146	609.146	0
layer3_strips12_300V	508	729.831	0.348317	0	0.348317	4
layer3_strips23_300V	330	213.136	0.0574686	-670.603	670.603	0
layer4_strips12_300V	618	625.991	0.230765	0	0.230765	140
layer4_strips23_300V	496	683.993	2856.47	0	2856.47	4
layer5_strips12_300V	544	628.186	0.277437	0	0.277437	140
layer5_strips23_300V	578	828.595	0.0113895	0	0.0113895	70
layer6_strips12_300V	717	417.375	0.103774	0	0.103774	210
layer6_strips23_300V	784	461.8	0.163834	0	0.163834	140
