Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	1003	3016.2	15817.2	0	15817.2	4
layer1_strips23_300V	1314	1743.52	3.46307	0	3.46307	4
layer2_strips12_300V	1513	1547.96	0.439449	0	0.439449	4
layer2_strips23_300V	947	1376.7	0.370856	0	0.370856	4
layer3_strips12_300V	1019	964.151	0.0116188	0	0.0116188	70
layer3_strips23_300V	1019	626.714	0.250821	0	0.250821	4
layer4_strips12_300V	503	1395.72	0.185893	0	0.185893	210
layer4_strips23_300V	543	2754.28	0.00212263	0	0.00212263	4
layer5_strips12_300V	840	360.895	0.0391934	0	0.0391934	210
layer5_strips23_300V	1176	438.851	0.00129519	0	0.00129519	4
