Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	416	1.08249	0.00591189	0	0.00591189	140
layer1_strips23_300V	421	0.877742	0.043592	0	0.043592	210
layer2_strips12_300V	520	26.3911	0.0477267	-1.22736	1.22829	0
layer2_strips23_300V	407	0.307577	0.0903724	-0.116849	0.147719	0
layer3_strips12_300V	413	46.616	0.0850049	-3.17857	3.17971	0
layer3_strips23_300V	446	46.4593	0.042995	-2.14224	2.14267	0
layer4_strips12_300V	410	1.41923	0.0121009	0	0.0135162	70
layer4_strips23_300V	414	1.3196	0.00583212	0	0.00823392	210
layer5_strips12_300V	412	130.233	0.557043	0	0.557043	4
layer5_strips23_300V	314	119.869	0.431358	-11.2494	11.2577	0
layer6_strips12_300V	442	63.8751	0.113954	-4.74952	4.75089	0
layer6_strips23_300V	416	0.561092	0.00581234	0	0.00581234	210
