Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	345	0.931389	0.110902	-0.415095	0.429654	0
layer1_strips23_300V	369	2.23837	0.0146376	0	0.0146376	70
layer2_strips12_300V	365	19.2676	0.0678537	-1.28653	1.28831	0
layer2_strips23_300V	553	20.4734	0.0152656	0.0541494	0.0562601	0
layer3_strips12_300V	369	55.7476	0.129476	-4.38976	4.39167	0
layer3_strips23_300V	430	49.3151	0.094652	-3.44404	3.44534	0
layer4_strips12_300V	361	0.636381	0	0	0	4
layer4_strips23_300V	368	1.00856	0.00665426	-0.0957375	0.104718	210
layer5_strips12_300V	492	111.609	0.0911876	-5.3656	5.36638	0
layer5_strips23_300V	373	112.476	0.143948	-6.80579	6.80731	0
layer6_strips12_300V	427	40.0602	0.0731389	-2.15191	2.15316	0
layer6_strips23_300V	426	44.5402	0.0699187	-1.94065	1.94191	0
