Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	361	0.626304	0.073102	-0.162731	0.178396	0
layer1_strips23_300V	360	0.608375	0.0238074	-0.0166028	0.0290249	0
layer2_strips12_300V	356	20.8125	0.0731412	-1.37896	1.3809	0
layer2_strips23_300V	362	19.9668	0.0599673	-1.12566	1.12726	0
layer3_strips12_300V	363	67.208	0.141733	-5.60086	5.60265	0
layer3_strips23_300V	357	64.3926	0.142444	-5.54412	5.54595	0
layer4_strips12_300V	357	-0.00302148	0.0127798	0	0.0132402	280
layer4_strips23_300V	130	0.222283	0.690759	0	0.690759	4
layer5_strips12_300V	364	151.476	0.216309	-11.7687	11.7707	0
layer5_strips23_300V	351	151.593	0.242061	-12.4713	12.4737	0
layer6_strips12_300V	366	72.1001	0.166162	-6.34907	6.35125	0
layer6_strips23_300V	357	0.829577	0.0384574	-0.0804163	0.0891389	0
