Effective N of Points	frMinfrMax
20	100	1000
Title	I_max	I_meas	dI_stat	dI_sys	dI_tot	status
layer1_strips12_300V	727	930.965	0.966439	-246.155	246.157	0
layer1_strips23_300V	265	1394.12	6.49985	0	6.49985	4
layer2_strips12_300V	403	1205.02	2.10813	-135.068	135.084	0
layer2_strips23_300V	446	1223.41	2.99091	0	2.99091	4
layer3_strips12_300V	341	1718.27	4.11431	0	4.11431	4
layer3_strips23_300V	403	2091.75	11916.6	0	11916.6	4
layer4_strips12_300V	709	1641.99	1.22369	0	1.22369	4
layer4_strips23_300V	358	3036.06	0.744987	0	0.744987	70
layer5_strips12_300V	276	1971.94	1.15106	0	1.15106	70
layer5_strips23_300V	517	1966.77	1.75467	0	1.75467	4
layer6_strips12_300V	309	1570.11	4.5478	0	4.5478	4
layer6_strips23_300V	329	1557.5	0.172199	0	0.172199	70
